tiempo_llegada,tiempo_salida_servidor
"29,89281969","32,48793828"
"32,89529874","38,05296367"
"33,47764111","41,36092861"
"36,96024117","41,65786205"
"39,68798685","43,33704952"
"58,02060015","60,5829541"
"64,81125901","71,64587943"
"86,31725944","88,2451145"
"109,3344012","109,7063938"
"115,0844603","122,4171486"
"119,2042085","126,1863986"
"124,6481112","147,5271322"
"126,5154475","151,4214811"
"129,0761364","154,2827417"
"138,8226083","168,5359806"
"141,8673266","200,8382133"
"142,1505415","209,8853228"
"157,3007421","215,905982"
"182,8526705","222,5307369"
"186,764121","226,882129"
"190,1506978","229,264922"
"192,8536662","248,8385901"
"197,7054601","251,1303595"
"213,0468617","257,4938369"
"232,0003887","261,8906839"
"234,2900995","268,8250653"
"234,7849675","269,3705595"
"235,809947","276,1194486"
"253,7464969","277,7449786"
"256,5350812","279,7694374"
"257,0454568","279,8744852"
"298,3065342","299,2769713"
"309,4244888","324,0630723"
"316,9739722","329,8741632"
"321,1419568","338,1905875"
"325,7860227","340,6912568"
"327,8970701","345,555671"
"343,2210302","358,9312245"
"346,4565585","359,3024212"
"357,8718704","374,343567"
"385,2104479","387,8033733"
"387,7386728","395,111075"
"391,0474842","397,4487143"
"405,305218","410,3646355"
"429,4548358","436,8034351"
"434,9830892","448,0468584"
"446,7044472","451,2697224"
"451,483984","459,5523128"
"453,8345978","459,7497797"
"455,7344856","460,3952834"
"473,0134459","474,2709623"
"479,7586595","485,250953"
"487,8436303","489,5640585"
"491,0304662","501,364624"
"502,8315693","510,3506868"
"505,257824","515,9819323"
"519,9606863","533,1001759"
"523,7521345","533,8824173"
"553,7200307","559,6770508"
"582,0261591","584,4081"
"591,1348418","594,9190049"
"594,8865038","600,3094309"
"612,8929449","613,7203273"
"631,8297617","643,6189916"
"653,996849","655,8005149"
"660,1851904","662,1360726"
"660,6672536","664,2362929"
"680,5560751","690,1182734"
"690,8496263","691,2191606"
"695,2581583","695,8375857"
"700,1424421","704,5514634"
"704,2227853","709,1063906"
"730,9375366","743,1782645"
"736,8771748","747,5804906"
"752,8772915","755,6771312"
"756,2101381","761,3010214"
"761,723568","763,8667596"
"761,9175756","777,8252501"
"769,6302337","777,9963337"
"774,8945023","783,5604833"
"776,6691628","791,9974522"
"795,4799817","806,0037545"
"798,0806244","806,7273801"
"801,2375772","816,3260866"
"802,1667084","822,2751664"
"820,0118755","824,678489"
"834,1766967","835,949688"
"844,9008818","846,4454861"
"845,3312781","847,6504071"
"864,0112449","875,7583361"
"873,2236819","879,991372"
"883,5404449","891,9203721"
"887,0959545","896,7837412"
"897,1905213","901,092308"
"902,0050387","904,2260773"
"903,9108464","907,3048927"
"905,9912289","910,2444237"
"916,2472057","933,4429283"
"916,5307007","933,8358929"
"918,7625249","935,6975063"
"918,9278988","943,3820705"
"919,7305881","949,9679769"
"928,0099909","952,1928615"
"934,3624767","959,5860518"
"936,312577","977,3568504"
"942,088163","982,1943831"
"969,7420598","984,6874514"
"976,4639648","985,6175023"
"981,055714","990,1790665"
"985,0490688","1004,534707"
"990,0493578","1008,353759"
"1014,884711","1016,560918"
"1018,412731","1021,832527"
"1028,963323","1036,237474"
"1052,089513","1055,388676"
"1055,568589","1056,32334"
"1063,863625","1088,016782"
"1071,773615","1093,701941"
"1078,73323","1111,600568"
"1083,794709","1130,3404"
"1086,268421","1134,8133"
"1086,385409","1142,877865"
"1095,688292","1144,322031"
"1095,93157","1147,595112"
"1097,037491","1148,864553"
"1101,426099","1151,615892"
"1127,623824","1156,81589"
"1138,654334","1156,983303"
"1159,649162","1163,192907"
"1164,289235","1164,453655"
"1169,771462","1176,18689"
"1174,165861","1178,085236"
"1189,299784","1192,030687"
"1195,745442","1204,868777"
"1203,192818","1207,792673"
"1213,661331","1222,703903"
"1216,413025","1231,530255"
"1233,690719","1258,556683"
"1242,502558","1260,962428"
"1243,470729","1271,716584"
"1259,117349","1293,450401"
"1271,419997","1293,85128"
"1275,976189","1313,517421"
"1280,432277","1315,738087"
"1292,989786","1324,267903"
"1294,489199","1327,265853"
"1298,678244","1327,294838"
"1303,264768","1335,350518"
"1309,209082","1341,426335"
"1315,045382","1343,87754"
"1318,252547","1357,57727"
"1336,129517","1360,559841"
"1352,117456","1366,952143"
"1366,507049","1378,370591"
"1372,435124","1386,738025"
